               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.083299,            0.014375,           0.0064304,             0.36034,                 0.8,             0.43062,             0.28449,            0.055325,           0.0095685,           0.0040392,             0.03378,           0.0067797,           0.0067797
                  37,            0.083184,            0.013734,           0.0064319,             0.57261,             0.87127,             0.75858,             0.25502,            0.055331,           0.0087711,            0.003933,            0.031951,           0.0069505,           0.0069505
                  38,            0.072258,            0.016034,           0.0065608,             0.71185,                 0.8,             0.90065,              0.4069,            0.054894,           0.0084074,           0.0037238,            0.030121,           0.0071207,           0.0071207
                  39,            0.083623,            0.012431,           0.0061153,             0.71185,                 0.8,             0.90065,              0.4069,            0.054894,           0.0084074,           0.0037238,             0.02829,             0.00729,             0.00729
                  40,            0.077117,            0.013071,           0.0059414,             0.71843,                0.75,             0.85514,             0.21661,            0.061364,           0.0080221,           0.0037014,            0.026458,           0.0074585,           0.0074585
                  41,            0.078126,            0.011492,           0.0061612,             0.55174,             0.86187,             0.62904,             0.25628,            0.057404,           0.0072587,           0.0036958,            0.024626,           0.0076262,           0.0076262
                  42,            0.076632,            0.012481,           0.0062316,             0.55174,             0.86187,             0.62904,             0.25628,            0.057404,           0.0072587,           0.0036958,            0.022793,           0.0077931,           0.0077931
                  43,            0.063298,           0.0099976,           0.0053637,              0.2798,                 0.6,             0.28167,             0.13842,            0.060708,           0.0071135,           0.0039459,            0.020959,           0.0079593,           0.0079593
                  44,            0.085795,            0.013663,           0.0062736,              0.2798,                 0.6,             0.28167,             0.13842,            0.060708,           0.0071135,           0.0039459,            0.019125,           0.0081246,           0.0081246
                  45,            0.084133,            0.014301,            0.007326,             0.22407,                0.95,             0.26612,            0.070082,            0.057252,           0.0071757,           0.0040367,            0.017289,           0.0082892,           0.0082892
                  46,            0.086726,            0.012969,           0.0064499,             0.22407,                0.95,             0.26612,            0.070082,            0.057252,           0.0071757,           0.0040367,            0.015453,            0.008453,            0.008453
                  47,            0.083092,            0.012146,           0.0061741,             0.32224,             0.83225,             0.33675,             0.13552,            0.057898,           0.0067599,           0.0044979,            0.013616,           0.0086159,           0.0086159
                  48,            0.081712,            0.012077,           0.0068315,             0.32224,             0.83225,             0.33675,             0.13552,            0.057898,           0.0067599,           0.0044979,            0.011778,           0.0087781,           0.0087781
                  49,            0.075889,            0.013765,           0.0062223,             0.25782,                0.85,             0.27563,            0.077841,             0.05549,           0.0071305,           0.0040968,           0.0099395,           0.0089395,           0.0089395
                  50,            0.059867,            0.010608,           0.0055372,             0.25782,                0.85,             0.27563,            0.077841,             0.05549,           0.0071305,           0.0040968,             0.00901,             0.00901,             0.00901
                  51,            0.075125,            0.017154,           0.0062747,             0.28881,             0.87332,             0.32005,             0.10375,             0.04981,           0.0078995,           0.0037682,             0.00901,             0.00901,             0.00901
                  52,            0.071779,            0.013182,           0.0066176,             0.28881,             0.87332,             0.32005,             0.10375,             0.04981,           0.0078995,           0.0037682,           0.0089902,           0.0089902,           0.0089902
                  53,            0.073087,            0.014616,           0.0061916,             0.28773,                0.95,             0.29797,             0.12046,            0.046666,           0.0082573,           0.0033559,           0.0089704,           0.0089704,           0.0089704
                  54,            0.063621,              0.0135,           0.0052896,             0.28773,                0.95,             0.29797,             0.12046,            0.046666,           0.0082573,           0.0033559,           0.0089506,           0.0089506,           0.0089506
                  55,            0.067858,            0.013513,           0.0057231,             0.24785,                0.55,             0.29264,            0.073356,            0.056787,           0.0086662,           0.0032701,           0.0089308,           0.0089308,           0.0089308
                  56,            0.082204,            0.013565,           0.0053836,             0.24785,                0.55,             0.29264,            0.073356,            0.056787,           0.0086662,           0.0032701,            0.008911,            0.008911,            0.008911
                  57,            0.084906,            0.012279,           0.0051455,             0.43555,                0.95,             0.45967,             0.20164,            0.037002,           0.0087308,           0.0032818,           0.0088912,           0.0088912,           0.0088912
                  58,            0.067832,             0.01498,           0.0058221,             0.43555,                0.95,             0.45967,             0.20164,            0.037002,           0.0087308,           0.0032818,           0.0088714,           0.0088714,           0.0088714
                  59,            0.058117,            0.013518,           0.0054161,             0.53792,                 0.7,              0.6399,             0.14598,            0.047557,           0.0091131,           0.0032713,           0.0088516,           0.0088516,           0.0088516
                  60,            0.071108,            0.015723,             0.00553,             0.53792,                 0.7,              0.6399,             0.14598,            0.047557,           0.0091131,           0.0032713,           0.0088318,           0.0088318,           0.0088318
                  61,            0.073825,            0.012578,           0.0048144,             0.41792,                 0.8,             0.59314,             0.23661,            0.035788,           0.0080135,           0.0033323,            0.008812,            0.008812,            0.008812
                  62,            0.050485,            0.011217,           0.0051539,             0.41792,                 0.8,             0.59314,             0.23661,            0.035788,           0.0080135,           0.0033323,           0.0087922,           0.0087922,           0.0087922
                  63,            0.070208,            0.017728,           0.0062451,             0.61329,                0.85,              0.8519,             0.39225,            0.032668,           0.0082263,           0.0031659,           0.0087724,           0.0087724,           0.0087724
                  64,            0.062797,            0.017459,           0.0055551,             0.61329,                0.85,              0.8519,             0.39225,            0.032668,           0.0082263,           0.0031659,           0.0087526,           0.0087526,           0.0087526
                  65,            0.057162,            0.014152,           0.0053023,             0.36213,                0.95,             0.39734,             0.21675,            0.039967,           0.0077046,           0.0029844,           0.0087328,           0.0087328,           0.0087328
                  66,            0.058885,            0.011884,           0.0055018,             0.36213,                0.95,             0.39734,             0.21675,            0.039967,           0.0077046,           0.0029844,            0.008713,            0.008713,            0.008713
                  67,            0.066863,            0.014843,           0.0051713,             0.71023,             0.85813,             0.84441,             0.56936,            0.040778,           0.0082971,           0.0028498,           0.0086932,           0.0086932,           0.0086932
                  68,            0.067229,            0.014157,           0.0048732,             0.71023,             0.85813,             0.84441,             0.56936,            0.040778,           0.0082971,           0.0028498,           0.0086734,           0.0086734,           0.0086734
                  69,            0.074059,             0.01391,           0.0049778,             0.24172,                 0.9,             0.29126,             0.11018,            0.050355,           0.0079387,           0.0027239,           0.0086536,           0.0086536,           0.0086536
                  70,            0.067972,             0.01534,           0.0047325,             0.24172,                 0.9,             0.29126,             0.11018,            0.050355,           0.0079387,           0.0027239,           0.0086338,           0.0086338,           0.0086338
                  71,            0.067549,             0.01157,           0.0041587,             0.86582,                0.95,             0.95029,             0.55273,            0.035956,           0.0071015,           0.0029273,            0.008614,            0.008614,            0.008614
                  72,            0.074907,            0.011702,           0.0054145,             0.86582,                0.95,             0.95029,             0.55273,            0.035956,           0.0071015,           0.0029273,           0.0085942,           0.0085942,           0.0085942
                  73,            0.065781,            0.011658,           0.0048424,             0.59332,                0.95,             0.74792,             0.27656,            0.042207,           0.0070056,           0.0028503,           0.0085744,           0.0085744,           0.0085744
                  74,            0.068452,            0.011625,           0.0053401,             0.59332,                0.95,             0.74792,             0.27656,            0.042207,           0.0070056,           0.0028503,           0.0085546,           0.0085546,           0.0085546
                  75,            0.053326,           0.0097202,           0.0043952,             0.84822,                   1,             0.98065,             0.43463,            0.033018,           0.0064855,           0.0029856,           0.0085348,           0.0085348,           0.0085348
                  76,             0.05946,            0.013273,           0.0075024,             0.84822,                   1,             0.98065,             0.43463,            0.033018,           0.0064855,           0.0029856,            0.008515,            0.008515,            0.008515
                  77,            0.058535,            0.013842,           0.0055617,             0.86847,             0.99077,             0.97932,             0.71453,            0.032111,           0.0062994,           0.0029714,           0.0084952,           0.0084952,           0.0084952
                  78,             0.05741,            0.012653,            0.004643,             0.86847,             0.99077,             0.97932,             0.71453,            0.032111,           0.0062994,           0.0029714,           0.0084754,           0.0084754,           0.0084754
                  79,            0.058157,            0.008798,           0.0045252,              0.8263,                   1,             0.99045,             0.34643,            0.038108,           0.0064699,           0.0028106,           0.0084556,           0.0084556,           0.0084556
                  80,            0.059612,            0.013979,           0.0042824,              0.8263,                   1,             0.99045,             0.34643,            0.038108,           0.0064699,           0.0028106,           0.0084358,           0.0084358,           0.0084358
                  81,             0.04581,            0.010775,           0.0041116,             0.71073,                0.95,             0.83209,             0.32024,            0.031868,           0.0068811,           0.0029024,            0.008416,            0.008416,            0.008416
                  82,            0.070472,            0.010335,           0.0043252,             0.71073,                0.95,             0.83209,             0.32024,            0.031868,           0.0068811,           0.0029024,           0.0083962,           0.0083962,           0.0083962
                  83,            0.061503,            0.013359,           0.0040972,             0.69069,                0.95,             0.90007,             0.32811,            0.038342,           0.0076186,           0.0028911,           0.0083764,           0.0083764,           0.0083764
                  84,            0.068098,            0.010475,           0.0042334,             0.69069,                0.95,             0.90007,             0.32811,            0.038342,           0.0076186,           0.0028911,           0.0083566,           0.0083566,           0.0083566
                  85,            0.061185,            0.010477,           0.0041556,             0.71564,                   1,             0.92938,             0.46054,            0.031915,           0.0073496,           0.0029917,           0.0083368,           0.0083368,           0.0083368
                  86,            0.054889,            0.012538,           0.0041734,             0.71564,                   1,             0.92938,             0.46054,            0.031915,           0.0073496,           0.0029917,            0.008317,            0.008317,            0.008317
                  87,            0.051115,            0.011247,           0.0043186,             0.56916,                 0.9,             0.73599,               0.281,            0.039005,           0.0074443,           0.0030242,           0.0082972,           0.0082972,           0.0082972
                  88,            0.073765,             0.01152,           0.0050764,             0.56916,                 0.9,             0.73599,               0.281,            0.039005,           0.0074443,           0.0030242,           0.0082774,           0.0082774,           0.0082774
                  89,            0.057646,           0.0095674,            0.004032,             0.79417,             0.96502,             0.95253,             0.70939,            0.024041,           0.0074854,           0.0030125,           0.0082576,           0.0082576,           0.0082576
                  90,            0.058123,            0.013036,           0.0045001,             0.79417,             0.96502,             0.95253,             0.70939,            0.024041,           0.0074854,           0.0030125,           0.0082378,           0.0082378,           0.0082378
                  91,            0.057589,            0.011495,           0.0040499,             0.90109,                   1,             0.99024,             0.52456,            0.026062,           0.0073369,           0.0030348,            0.008218,            0.008218,            0.008218
                  92,            0.056762,            0.013771,           0.0042499,             0.90109,                   1,             0.99024,             0.52456,            0.026062,           0.0073369,           0.0030348,           0.0081982,           0.0081982,           0.0081982
                  93,            0.053947,            0.010855,           0.0041813,             0.50687,             0.87406,             0.69027,             0.29205,            0.030507,           0.0071049,           0.0029434,           0.0081784,           0.0081784,           0.0081784
                  94,            0.055797,            0.010725,           0.0040501,             0.50687,             0.87406,             0.69027,             0.29205,            0.030507,           0.0071049,           0.0029434,           0.0081586,           0.0081586,           0.0081586
                  95,            0.068005,            0.010519,           0.0046345,             0.86539,             0.96475,             0.97895,             0.62954,            0.024365,           0.0068672,           0.0029412,           0.0081388,           0.0081388,           0.0081388
                  96,             0.05302,            0.010743,           0.0042935,             0.86539,             0.96475,             0.97895,             0.62954,            0.024365,           0.0068672,           0.0029412,            0.008119,            0.008119,            0.008119
                  97,            0.051879,             0.01095,           0.0046669,             0.57445,                 0.8,             0.81339,             0.40363,            0.023955,           0.0071247,           0.0029193,           0.0080992,           0.0080992,           0.0080992
                  98,            0.050377,            0.010961,           0.0042903,             0.57445,                 0.8,             0.81339,             0.40363,            0.023955,           0.0071247,           0.0029193,           0.0080794,           0.0080794,           0.0080794
                  99,            0.060319,            0.010523,           0.0040098,             0.77535,             0.86327,             0.88404,             0.40468,            0.032137,           0.0069231,           0.0029706,           0.0080596,           0.0080596,           0.0080596
                 100,            0.054377,            0.010249,           0.0037598,             0.77535,             0.86327,             0.88404,             0.40468,            0.032137,           0.0069231,           0.0029706,           0.0080398,           0.0080398,           0.0080398
                 101,            0.064356,            0.012627,           0.0040151,             0.73983,             0.99543,             0.89503,             0.57131,            0.020862,           0.0066189,           0.0030866,             0.00802,             0.00802,             0.00802
                 102,            0.053911,           0.0098579,           0.0044552,             0.73983,             0.99543,             0.89503,             0.57131,            0.020862,           0.0066189,           0.0030866,           0.0080002,           0.0080002,           0.0080002
                 103,            0.048657,            0.014352,           0.0040742,             0.78641,             0.92098,             0.94371,             0.41045,            0.027816,            0.006735,           0.0030962,           0.0079804,           0.0079804,           0.0079804
                 104,            0.054548,            0.010052,           0.0035883,             0.78641,             0.92098,             0.94371,             0.41045,            0.027816,            0.006735,           0.0030962,           0.0079606,           0.0079606,           0.0079606
                 105,            0.061563,            0.010562,            0.003859,             0.91144,                   1,             0.98548,             0.64583,            0.021925,            0.006515,           0.0032717,           0.0079408,           0.0079408,           0.0079408
                 106,            0.055191,            0.012068,           0.0044311,             0.91144,                   1,             0.98548,             0.64583,            0.021925,            0.006515,           0.0032717,            0.007921,            0.007921,            0.007921
                 107,             0.05665,           0.0096155,           0.0040395,             0.73561,                   1,             0.90043,             0.46906,            0.024661,           0.0062855,           0.0033662,           0.0079012,           0.0079012,           0.0079012
                 108,            0.050656,            0.012498,           0.0040832,             0.73561,                   1,             0.90043,             0.46906,            0.024661,           0.0062855,           0.0033662,           0.0078814,           0.0078814,           0.0078814
                 109,             0.04121,           0.0098686,           0.0043826,             0.91461,                   1,             0.98786,             0.62027,            0.021799,           0.0062128,           0.0033405,           0.0078616,           0.0078616,           0.0078616
                 110,            0.054839,           0.0091496,           0.0037394,             0.91461,                   1,             0.98786,             0.62027,            0.021799,           0.0062128,           0.0033405,           0.0078418,           0.0078418,           0.0078418
                 111,            0.049157,           0.0084372,           0.0034615,             0.70639,                0.95,             0.92127,             0.40002,            0.025154,           0.0060862,           0.0033267,            0.007822,            0.007822,            0.007822
                 112,            0.054716,            0.010229,            0.003787,             0.70639,                0.95,             0.92127,             0.40002,            0.025154,           0.0060862,           0.0033267,           0.0078022,           0.0078022,           0.0078022
                 113,            0.051815,           0.0096775,           0.0035664,             0.94568,                   1,             0.99262,             0.34993,            0.027259,           0.0058425,           0.0031888,           0.0077824,           0.0077824,           0.0077824
                 114,            0.055235,            0.010734,           0.0037938,             0.94568,                   1,             0.99262,             0.34993,            0.027259,           0.0058425,           0.0031888,           0.0077626,           0.0077626,           0.0077626
                 115,            0.054106,           0.0098011,           0.0036029,             0.66366,                   1,             0.92625,             0.53077,            0.023449,           0.0057247,           0.0031459,           0.0077428,           0.0077428,           0.0077428
                 116,            0.059965,            0.012055,           0.0036633,             0.66366,                   1,             0.92625,             0.53077,            0.023449,           0.0057247,           0.0031459,            0.007723,            0.007723,            0.007723
                 117,            0.063796,            0.010089,           0.0043417,             0.94628,                   1,               0.995,             0.47947,            0.023188,           0.0055995,           0.0030635,           0.0077032,           0.0077032,           0.0077032
                 118,            0.046982,           0.0091678,           0.0037111,             0.94628,                   1,               0.995,             0.47947,            0.023188,           0.0055995,           0.0030635,           0.0076834,           0.0076834,           0.0076834
                 119,             0.04048,           0.0091085,           0.0036382,             0.90714,                   1,               0.995,             0.46049,            0.023874,           0.0056329,           0.0030285,           0.0076636,           0.0076636,           0.0076636
                 120,            0.052195,            0.010353,            0.004051,             0.90714,                   1,               0.995,             0.46049,            0.023874,           0.0056329,           0.0030285,           0.0076438,           0.0076438,           0.0076438
                 121,            0.055468,            0.010923,           0.0043615,             0.99626,                   1,               0.995,              0.4954,            0.026147,           0.0056503,             0.00308,            0.007624,            0.007624,            0.007624
                 122,            0.054226,            0.012305,           0.0035536,             0.99626,                   1,               0.995,              0.4954,            0.026147,           0.0056503,             0.00308,           0.0076042,           0.0076042,           0.0076042
